review_id,rating,text,review_url,user_id,Store_name,SOURCE,DATE_SCRAPED
RFvEGS2ozM6S4nM2gGyOMg,5,"IF!!! You must be in Los Angeles, this is the best dispensary I've bern to.

I live the fact that it's like a real store.  You walk in (after showing ID at...",https://www.yelp.com/biz/medmen-los-angeles-dtla-los-angeles?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=RFvEGS2ozM6S4nM2gGyOMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,fyexSLiczFaWPxlzQlO2CQ,MedMen Los Angeles - DTLA,yelp,11-17-2019
Dv8phK_ntGdzwz61XzL5OA,5,This place is awesome! They put a lot into making it easy to find the details of each product and showcasing a wide variety of products for all purposes....,https://www.yelp.com/biz/medmen-los-angeles-dtla-los-angeles?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=Dv8phK_ntGdzwz61XzL5OA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,39YGRq-Odc_6v0oTJ34jAw,MedMen Los Angeles - DTLA,yelp,11-17-2019
ms0l4o_uJxo9U-AQh4CMeQ,2,The cannabis business is booming and MedMen is a somewhat reputable brand in a largely unregulated and unsubstantiated field. I'm a health care professional...,https://www.yelp.com/biz/medmen-los-angeles-dtla-los-angeles?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=ms0l4o_uJxo9U-AQh4CMeQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,O_A4OC0ElYPNhjC9KF8Mzg,MedMen Los Angeles - DTLA,yelp,11-17-2019
3BwAvtRB2zzIeuALkfoXpQ,5,"In the age that we're living in where your choices are between a high end dispensary like MedMen that come with over the top prices, and still illegal non...",https://www.yelp.com/biz/new-age-care-center-los-angeles?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=3BwAvtRB2zzIeuALkfoXpQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,kf7M7Y3msuur6tPBSJGwbg,New Age Care Center,yelp,11-17-2019
7qh2je3UPalrN4jBm8sSsQ,5,First off their weed is amazing. My favorite brand that they have there is Source Cannabis (Larry Og). All the girls are very helpful and patient they'll...,https://www.yelp.com/biz/new-age-care-center-los-angeles?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=7qh2je3UPalrN4jBm8sSsQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,Fc4vfuBfgZvHna8Wt7i9ww,New Age Care Center,yelp,11-17-2019
sqOni7pyiqO5lm3nEYD8Qg,5,Very nice selection & cool vibe. Close to USC campus & the new LAFC soccer stadium . I got me some of the Source Cannabis .. Bomb !!!! Probably my favorite...,https://www.yelp.com/biz/new-age-care-center-los-angeles?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=sqOni7pyiqO5lm3nEYD8Qg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,OWRpdXHMHatrGVZN8opM2w,New Age Care Center,yelp,11-17-2019
bKfahgCp5KGX-JsHAEMaIg,4,Nice first time deals. Exotic strands of weed to choose from. Highly recommended to people visiting and staying the airport,https://www.yelp.com/biz/king-kush-collective-los-angeles-3?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=bKfahgCp5KGX-JsHAEMaIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,qhkbDso4O6JM8lETyewbHw,King Kush Collective,yelp,11-17-2019
bMajMuqIqWG2U77Z4zu7iQ,5,Great customer service always stocked very informative  and fire dank!!! Look no further for quality meds!!!! Can't complain!!!!!,https://www.yelp.com/biz/king-kush-collective-los-angeles-3?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=bMajMuqIqWG2U77Z4zu7iQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,5SjNvW5jDabn1vDxmBGmsw,King Kush Collective,yelp,11-17-2019
o9NhjVEVzGhvPt88J5INBg,1,Straight up rip off!!  Lame selection. Sketchy as fuck. Pretty sure they have no license so hopefully the city will shut then down. avoid.,https://www.yelp.com/biz/king-kush-collective-los-angeles-3?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=o9NhjVEVzGhvPt88J5INBg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,94UUF_8c1szvjqQHZeSj7w,King Kush Collective,yelp,11-17-2019
5F-zqtqpexVg6J9HLmMU8Q,4,"Great first time patient deals. A little pricey without the deals, especially their delivery service fees, but their quality is great and the budtenders are...",https://www.yelp.com/biz/stone-age-farmacy-gardena-2?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=5F-zqtqpexVg6J9HLmMU8Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,KgFFREa9stpWCW8Fuu5gfQ,Stone Age Farmacy,yelp,11-17-2019
