review_id,review_url,text,rating,user_id,Store_name,SOURCE,DATE_SCRAPED
vIsC5BhqVnZFAmXYKnyuEw,https://www.yelp.com/biz/stone-age-farmacy-gardena-2?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=vIsC5BhqVnZFAmXYKnyuEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,"Was a FIRST TIME CUSTOMER AND LAST!!! 
DO NOT WASTE YOUR TIME HERE!!!!!!!!!
Bud tenders do not offer any information regarding FIRST TIME CUSTOMER...",1,jg5WhjJ1O4KP5Pf-iru79w,Stone Age Farmacy,yelp,11-23-2019
QMabS17eSyARKzyTESAp3A,https://www.yelp.com/biz/stone-age-farmacy-gardena-2?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=QMabS17eSyARKzyTESAp3A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,"Quick service, knowledgeable budtenders and great selection! Todd, Vivan, Jojo, Alice to name a few of the helpful budtenders.


Update! It's been awhile...",5,KEUtvx9BUAl3hsGckIZG3A,Stone Age Farmacy,yelp,11-23-2019
93hk-5RJgq4_1gm3tUUmgw,https://www.yelp.com/biz/vip-collective-la-los-angeles-2?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=93hk-5RJgq4_1gm3tUUmgw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,"Friendly staff, great customer service and a great selection of whatever you're into. 
They got a large selection of cannabis, wax, etc. 
Check them out!",5,1xqwVCfdpmjNjm4tDsEslg,VIP Collective LA,yelp,11-23-2019
oB1-4lvmDlKCDskmGK9hfg,https://www.yelp.com/biz/vip-collective-la-los-angeles-2?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=oB1-4lvmDlKCDskmGK9hfg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,"VIP goes the extra mile in every aspect. Well stocked with an array of excellent strains, hybrids, premium, top shelf, you name it they got it. Always great...",5,ZoIlX4qG0_FPyeONQppx3g,VIP Collective LA,yelp,11-23-2019
0Mf-KHpzZqO-BzTlrFJqrw,https://www.yelp.com/biz/la-cannabis-co-los-angeles-los-angeles-5?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=0Mf-KHpzZqO-BzTlrFJqrw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,First time here. Only spot open on Sunday night past 8 o'clock. Very kind and informative gentleman. Helped me locate a nice Northern Lights vape pen. One...,5,k82BX-qYn4R-jaoo3qMzXg,LA Cannabis Co - Los Angeles,yelp,11-23-2019
a65wI3UzX1JBXj2olS8GMg,https://www.yelp.com/biz/la-cannabis-co-los-angeles-los-angeles-5?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=a65wI3UzX1JBXj2olS8GMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,I read up on them and thought how progressive of them. They set up sanitized storefronts in the inner cities to usher in quality products for affordable...,1,s1tPRLShVPLXLVgu-6GkpA,LA Cannabis Co - Los Angeles,yelp,11-23-2019
4Amgki9P_gJ8fJ4CMoJJ0w,https://www.yelp.com/biz/la-cannabis-co-los-angeles-los-angeles-5?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=4Amgki9P_gJ8fJ4CMoJJ0w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,I had an overall positive experience when coming in and purchasing an item they are more than happy to take your money but if there's anything wrong with...,1,wbAH6Ys-TMB9p3wOc1Vr5w,LA Cannabis Co - Los Angeles,yelp,11-23-2019
bMajMuqIqWG2U77Z4zu7iQ,https://www.yelp.com/biz/king-kush-collective-los-angeles-3?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=bMajMuqIqWG2U77Z4zu7iQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,Great customer service always stocked very informative  and fire dank!!! Look no further for quality meds!!!! Can't complain!!!!!,5,5SjNvW5jDabn1vDxmBGmsw,King Kush Collective,yelp,11-23-2019
o9NhjVEVzGhvPt88J5INBg,https://www.yelp.com/biz/king-kush-collective-los-angeles-3?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=o9NhjVEVzGhvPt88J5INBg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,Straight up rip off!!  Lame selection. Sketchy as fuck. Pretty sure they have no license so hopefully the city will shut then down. avoid.,1,94UUF_8c1szvjqQHZeSj7w,King Kush Collective,yelp,11-23-2019
XyTb5hopJTKTO-ZcEzZO5w,https://www.yelp.com/biz/king-kush-collective-los-angeles-3?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=XyTb5hopJTKTO-ZcEzZO5w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,They have very nice and knowledgeable associates. Got us a great deal for first time purchases :) will come back,5,b-H311rUFX-Ha98xe34OLg,King Kush Collective,yelp,11-23-2019
