,review_id,rating,text,review_url,user_id,PROPERTYTYPE,Store_name,SOURCE,DATE_SCRAPED
1,naJYcS6y3bSMPr3PAVeR6g,1,"Horribly ran skatepark. Hours are 3-7 on weekdays, only gives you 4 hours to skate. And the bald guy who is supposed to open the skatepark is always at...",https://www.yelp.com/biz/hermosa-beach-community-center-community-resources-department-hermosa-beach?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=naJYcS6y3bSMPr3PAVeR6g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,ha5rwTGJGarj8jlh6MHdjQ,community center,Hermosa Beach Community Center - Community Resources Department,yelp,12-01-2019
2,qmybCzr3DlNa6BYbP4oZ4w,5,"Artz Unlimited School,in Hermosa Beach,is the greatest class ever. The children's work is amazing,they duplicate photos and masterpieces.I have personally...",https://www.yelp.com/biz/hermosa-beach-community-center-community-resources-department-hermosa-beach?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=qmybCzr3DlNa6BYbP4oZ4w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,c_rpcl-K_dGpvU41s3BUVA,community center,Hermosa Beach Community Center - Community Resources Department,yelp,12-01-2019
0,IiLmTLMZYeMLb6qf8LKVTA,5,"I had my wedding reception at CFAER. I am happy and lucky that I was able to find and book this venue for my wedding.

I was impressed and excited on my...",https://www.yelp.com/biz/center-for-the-arts-eagle-rock-los-angeles?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=IiLmTLMZYeMLb6qf8LKVTA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,cJ6cxPG_HA5gqLzAtcK6bg,community center,"Center for the Arts, Eagle Rock",yelp,12-01-2019
1,pK6fMoIrFgiM4a5BXX3ayQ,4,"we came here for a friend's wedding and it was BEAUTIFUL!!! the building is gorgeous inside and out. great spot for a 100 person wedding. 

my only...",https://www.yelp.com/biz/center-for-the-arts-eagle-rock-los-angeles?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=pK6fMoIrFgiM4a5BXX3ayQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,Gaav09Zp7jFgd9Nw6lUdHw,community center,"Center for the Arts, Eagle Rock",yelp,12-01-2019
2,nqfTGKoEfkBM8hHNRBV_8A,4,The service started off rocky. But overall communication picked up. They provided a thorough walk thru of the premises. Come the day of the event the space...,https://www.yelp.com/biz/center-for-the-arts-eagle-rock-los-angeles?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=nqfTGKoEfkBM8hHNRBV_8A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,BY8quwimpzsg5megWcaPpQ,community center,"Center for the Arts, Eagle Rock",yelp,12-01-2019
0,yl4ISeqcZf4RF1Ldnthg9Q,5,"Wonderful staff all around! 

I am a volunteer, and I can honestly say the children here receive the best tutoring and are able to participate in fun...",https://www.yelp.com/biz/mar-vista-family-center-los-angeles?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=yl4ISeqcZf4RF1Ldnthg9Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,mnc2mcLdiWK5l3aWZWLvfA,community center,Mar Vista Family Center,yelp,12-01-2019
1,5jflW_tCtpkGiVkdsDnxPw,4,"A great community center!  My mother takes UCLA Extension preschool teacher's courses here.  The facility is very nice and up to date.  

They constantly...",https://www.yelp.com/biz/mar-vista-family-center-los-angeles?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=5jflW_tCtpkGiVkdsDnxPw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,nUW_8s0NPf6fIf54roGBEA,community center,Mar Vista Family Center,yelp,12-01-2019
0,4iIp_Sq_W0n2dBd7W7ilQA,5,The community center has a wonderful group of kids for which the staff is offering great incentive based community resources. The positive influence of the...,https://www.yelp.com/biz/lennox-park-lennox?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=4iIp_Sq_W0n2dBd7W7ilQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,D7JJyy4qGI6RM-CAOYy7Qg,community center,Lennox Park,yelp,12-01-2019
1,ZSdkN4FPywo2KrDVW2ImOQ,5,"Small park, hardly any people compared to other parks. Close to residential area but slight hidden. Great programs. Looks like they have a full calendar...",https://www.yelp.com/biz/lennox-park-lennox?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=ZSdkN4FPywo2KrDVW2ImOQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,cTFoY-RDR3fhHnX0Mc9ELA,community center,Lennox Park,yelp,12-01-2019
2,3rx8J29hfVk0yq2lIX13RQ,5,We've been coming here for years. Such a cute little park. My son loves it and every time we come my husband likes to ball up with the locals.,https://www.yelp.com/biz/lennox-park-lennox?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=3rx8J29hfVk0yq2lIX13RQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,wpnx0HTPXbwMFADGYCOrbA,community center,Lennox Park,yelp,12-01-2019
0,nkUyWkwvmSAJrRiMvWRXMg,5,"If your looking for a venue to host your next event, search no more, because you've found the place! My name is Jose (JD) Daniel Vargas and I have known of...",https://www.yelp.com/biz/carson-center-carson?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=nkUyWkwvmSAJrRiMvWRXMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,AQFiz383o2FvXNskhDBu8Q,community center,Carson Center,yelp,12-01-2019
1,BvbJ8qfJwbIYlHgeVNVN0Q,5,"This center is clean, professional and spacious. It's always an honor to commemrate the Lord's Evening Meal here on an annual basis. Parking is always a...",https://www.yelp.com/biz/carson-center-carson?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=BvbJ8qfJwbIYlHgeVNVN0Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,OcBAg1qcBxyXlDW9OGSZJg,community center,Carson Center,yelp,12-01-2019
2,tbpHeemCjQOWI0CmudvR0w,5,"Beautiful, old-school and clean location.  Attended a Book event there over the weekend.",https://www.yelp.com/biz/carson-center-carson?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=tbpHeemCjQOWI0CmudvR0w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,k7cCoCpEmLFI1QKW-C8f_A,community center,Carson Center,yelp,12-01-2019
